Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	9.8856	9.8689	9.9023	1.0
nu_2	9.65009	9.6253	9.6749	1.0
t1	1.9536	1.9194	1.9878	1.0
nu11	30.59704	30.5542	30.6398	1.0
nu12	36.38299	36.3448	36.4211	1.0
me1_12	8.16505	8.1605	8.1696	1.0
me1_21	5.01348	5.0135	5.0135	1.0
t2	0.01365	0.0	0.153	1.0
nu21	6.17711	5.9355	6.4187	1.0
nu22	3.42416	3.2456	3.6027	1.0
me2_12	13.09436	13.0196	13.1691	1.0
me2_21	14.99969	14.8988	15.1006	1.0
P1	0.64942	0.6484	0.6504	1.0
P2	0.29096	0.2369	0.345	1.0
theta	5047.211602949337	5047.2115	5047.2117	1.0
nu_1	9.8856	9.8305	9.9407	0.01
nu_2	9.65009	9.6077	9.6925	0.01
t1	1.9536	1.8368	2.0704	0.01
nu11	30.59704	30.4022	30.7919	0.01
nu12	36.38299	36.2588	36.5072	0.01
me1_12	8.16505	7.2584	9.0717	0.01
me1_21	5.01348	3.9462	6.0807	0.01
t2	0.01365	0.0	0.3438	0.01
nu21	6.17711	5.7798	6.5744	0.01
nu22	3.42416	3.0776	3.7707	0.01
me2_12	13.09436	12.6526	13.5361	0.01
me2_21	14.99969	14.5289	15.4705	0.01
P1	0.64942	0.5763	0.7226	0.01
P2	0.29096	0.2354	0.3466	0.01
theta	5047.211602949337	5047.11	5047.3132	0.01
nu_1	9.8856	9.5206	10.2506	0.001
nu_2	9.65009	9.4527	9.8475	0.001
t1	1.9536	1.8171	2.0901	0.001
nu11	30.59704	30.4321	30.762	0.001
nu12	36.38299	35.9701	36.7958	0.001
me1_12	8.16505	7.652	8.6781	0.001
me1_21	5.01348	3.1348	6.8922	0.001
t2	0.01365	0.0	0.0361	0.001
nu21	6.17711	4.9588	7.3954	0.001
nu22	3.42416	2.6813	4.1671	0.001
me2_12	13.09436	13.033	13.1557	0.001
me2_21	14.99969	14.9279	15.0715	0.001
P1	0.64942	0.6375	0.6614	0.001
P2	0.29096	0.2581	0.3238	0.001
theta	5047.211602949337	5047.1125	5047.3107	0.001
nu_1	9.8856	9.6484	10.1228	0.0001
nu_2	9.65009	9.5397	9.7605	0.0001
t1	1.9536	1.8056	2.1016	0.0001
nu11	30.59704	30.5678	30.6262	0.0001
nu12	36.38299	36.0488	36.7172	0.0001
me1_12	8.16505	8.0603	8.2698	0.0001
me1_21	5.01348	3.7247	6.3023	0.0001
t2	0.01365	0.0	2.4342	0.0001
nu21	6.17711	3.6688	8.6854	0.0001
nu22	3.42416	1.7075	5.1408	0.0001
me2_12	13.09436	10.6756	15.5131	0.0001
me2_21	14.99969	12.667	17.3323	0.0001
P1	0.64942	0.6359	0.663	0.0001
P2	0.29096	0.2369	0.345	0.0001
theta	5047.211602949337	5047.0921	5047.3311	0.0001
nu_1	9.8856	9.7534	10.0178	1e-05
nu_2	9.65009	9.5857	9.7145	1e-05
t1	1.9536	1.9171	1.9901	1e-05
nu11	30.59704	30.5327	30.6613	1e-05
nu12	36.38299	36.2444	36.5216	1e-05
me1_12	8.16505	8.084	8.2461	1e-05
me1_21	5.01348	4.5242	5.5028	1e-05
t2	0.01365	0.0	1.3592	1e-05
nu21	6.17711	4.6139	7.7404	1e-05
nu22	3.42416	2.4587	4.3897	1e-05
me2_12	13.09436	11.6951	14.4936	1e-05
me2_21	14.99969	13.677	16.3224	1e-05
P1	0.64942	0.6361	0.6627	1e-05
P2	0.29096	0.2557	0.3263	1e-05
theta	5047.211602949337	5047.1798	5047.2434	1e-05
