Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	6.01079	5.9836	6.038	1.0
nu_2	15.33701	15.2999	15.3741	1.0
t1	1.66028	1.6533	1.6672	1.0
nu11	19.81554	19.7951	19.8359	1.0
nu12	37.17038	37.1686	37.1722	1.0
me1_12	11.54377	11.5155	11.572	1.0
me1_21	5.6171	5.6171	5.6171	1.0
t2	0.02302	0.0	0.0477	1.0
nu21	4.2244	4.1937	4.2551	1.0
nu22	7.41015	7.3785	7.4418	1.0
me2_12	11.63298	11.5726	11.6934	1.0
me2_21	4.28013	4.2457	4.3146	1.0
P1	0.54319	0.5425	0.5439	1.0
P2	0.16216	0.144	0.1803	1.0
theta	6534.534702330797	6534.5347	6534.5347	1.0
nu_1	6.01079	5.8194	6.2022	0.01
nu_2	15.33701	14.8542	15.8198	0.01
t1	1.66028	1.5322	1.7884	0.01
nu11	19.81554	19.58	20.0511	0.01
nu12	37.17038	36.6265	37.7143	0.01
me1_12	11.54377	9.5978	13.4897	0.01
me1_21	5.6171	3.6789	7.5553	0.01
t2	0.02302	0.0	0.5219	0.01
nu21	4.2244	3.7475	4.7013	0.01
nu22	7.41015	6.136	8.6843	0.01
me2_12	11.63298	11.3499	11.916	0.01
me2_21	4.28013	4.0025	4.5577	0.01
P1	0.54319	0.4802	0.6062	0.01
P2	0.16216	0.0024	0.3219	0.01
theta	6534.534702330797	6534.4462	6534.6232	0.01
nu_1	6.01079	5.9273	6.0943	0.001
nu_2	15.33701	14.9143	15.7598	0.001
t1	1.66028	1.582	1.7386	0.001
nu11	19.81554	19.5594	20.0717	0.001
nu12	37.17038	36.7962	37.5445	0.001
me1_12	11.54377	8.0339	15.0537	0.001
me1_21	5.6171	1.9408	9.2934	0.001
t2	0.02302	0.0	0.1471	0.001
nu21	4.2244	4.0095	4.4393	0.001
nu22	7.41015	6.2926	8.5277	0.001
me2_12	11.63298	11.3847	11.8813	0.001
me2_21	4.28013	4.0587	4.5016	0.001
P1	0.54319	0.5228	0.5636	0.001
P2	0.16216	0.0	0.4961	0.001
theta	6534.534702330797	6534.4837	6534.5857	0.001
nu_1	6.01079	5.7021	6.3195	0.0001
nu_2	15.33701	14.8651	15.8089	0.0001
t1	1.66028	1.5837	1.7369	0.0001
nu11	19.81554	19.5384	20.0927	0.0001
nu12	37.17038	36.6996	37.6411	0.0001
me1_12	11.54377	11.3578	11.7298	0.0001
me1_21	5.6171	5.4837	5.7505	0.0001
t2	0.02302	0.0	0.1334	0.0001
nu21	4.2244	4.1316	4.3172	0.0001
nu22	7.41015	5.8018	9.0185	0.0001
me2_12	11.63298	11.2885	11.9775	0.0001
me2_21	4.28013	3.8563	4.7039	0.0001
P1	0.54319	0.5237	0.5627	0.0001
P2	0.16216	0.0	0.4585	0.0001
theta	6534.534702330797	6534.4852	6534.5842	0.0001
