Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	1.27668	0.0	3.6008	1.0
nu_2	18.40574	17.602	19.2095	1.0
t1	2.22766	1.781	2.6743	1.0
nu11	25.03501	22.7076	27.3625	1.0
nu12	26.65942	25.5279	27.7909	1.0
me1_12	0.00052	0.0	49.4507	1.0
me1_21	0.53559	0.0	2.5499	1.0
t2	0.01749	0.0	3.6507	1.0
nu21	44.58402	44.4408	44.7273	1.0
nu22	19.70758	17.4363	21.9789	1.0
me2_12	15.0	9.1884	20.8116	1.0
me2_21	6.3867	0.0	13.25	1.0
P1	0.27127	0.0	1.5111	1.0
P2	0.42545	0.0	1.4423	1.0
theta	5163.812187183567	5163.8117	5163.8127	1.0
nu_1	1.27668	1.0094	1.5439	0.01
nu_2	18.40574	18.1676	18.6439	0.01
t1	2.22766	2.0056	2.4497	0.01
nu11	25.03501	24.8348	25.2352	0.01
nu12	26.65942	26.4361	26.8828	0.01
me1_12	0.00052	0.0	62.1169	0.01
me1_21	0.53559	0.2299	0.8412	0.01
t2	0.01749	0.0	0.6276	0.01
nu21	44.58402	40.1581	49.01	0.01
nu22	19.70758	19.3392	20.0759	0.01
me2_12	15.0	14.2599	15.7401	0.01
me2_21	6.3867	5.2686	7.5048	0.01
P1	0.27127	0.0689	0.4736	0.01
P2	0.42545	0.1547	0.6962	0.01
theta	5163.812187183567	5163.5748	5164.0496	0.01
nu_1	1.27668	1.1068	1.4465	0.001
nu_2	18.40574	18.289	18.5225	0.001
t1	2.22766	2.0341	2.4212	0.001
nu11	25.03501	24.9054	25.1646	0.001
nu12	26.65942	26.5149	26.8039	0.001
me1_12	0.00052	0.0	3.1027	0.001
me1_21	0.53559	0.2498	0.8214	0.001
t2	0.01749	0.0	0.0401	0.001
nu21	44.58402	42.1205	47.0476	0.001
nu22	19.70758	18.4112	21.004	0.001
me2_12	15.0	14.9509	15.0491	0.001
me2_21	6.3867	6.1658	6.6076	0.001
P1	0.27127	0.1697	0.3729	0.001
P2	0.42545	0.3921	0.4588	0.001
theta	5163.812187183567	5163.6333	5163.9911	0.001
nu_1	1.27668	1.2081	1.3453	0.0001
nu_2	18.40574	18.3415	18.47	0.0001
t1	2.22766	2.1601	2.2953	0.0001
nu11	25.03501	24.958	25.1121	0.0001
nu12	26.65942	26.6186	26.7003	0.0001
me1_12	0.00052	0.0	1.0775	0.0001
me1_21	0.53559	0.4846	0.5866	0.0001
t2	0.01749	0.0	0.332	0.0001
nu21	44.58402	40.2665	48.9015	0.0001
nu22	19.70758	18.6092	20.8059	0.0001
me2_12	15.0	14.5105	15.4895	0.0001
me2_21	6.3867	5.9007	6.8727	0.0001
P1	0.27127	0.1571	0.3855	0.0001
P2	0.42545	0.3603	0.4906	0.0001
theta	5163.812187183567	5163.7651	5163.8593	0.0001
nu_1	1.27668	1.2632	1.2901	1e-05
nu_2	18.40574	18.1451	18.6664	1e-05
t1	2.22766	2.1856	2.2697	1e-05
nu11	25.03501	25.0106	25.0594	1e-05
nu12	26.65942	26.6152	26.7036	1e-05
me1_12	0.00052	0.0	0.0572	1e-05
me1_21	0.53559	0.517	0.5542	1e-05
t2	0.01749	0.0	0.0871	1e-05
nu21	44.58402	44.3907	44.7773	1e-05
nu22	19.70758	19.5575	19.8576	1e-05
me2_12	15.0	14.9054	15.0946	1e-05
me2_21	6.3867	6.2752	6.4982	1e-05
P1	0.27127	0.2577	0.2848	1e-05
P2	0.42545	0.4072	0.4437	1e-05
theta	5163.812187183567	5163.784	5163.8404	1e-05
nu_1	1.27668	1.2743	1.279	1e-06
nu_2	18.40574	18.3985	18.413	1e-06
t1	2.22766	2.225	2.2303	1e-06
nu11	25.03501	25.0231	25.047	1e-06
nu12	26.65942	26.6489	26.6699	1e-06
me1_12	0.00052	0.0	0.0068	1e-06
me1_21	0.53559	0.5275	0.5437	1e-06
t2	0.01749	0.015	0.02	1e-06
nu21	44.58402	44.5627	44.6054	1e-06
nu22	19.70758	19.7018	19.7133	1e-06
me2_12	15.0	14.9956	15.0044	1e-06
me2_21	6.3867	6.3795	6.3939	1e-06
P1	0.27127	0.2684	0.2741	1e-06
P2	0.42545	0.4235	0.4274	1e-06
theta	5163.812187183567	5163.81	5163.8144	1e-06
