Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	1.08452	0.7485	1.4205	1.0
nu_2	23.36606	21.8059	24.9262	1.0
t1	1.70979	0.7139	2.7057	1.0
nu11	16.60098	15.3457	17.8562	1.0
nu12	7.40507	6.2563	8.5538	1.0
me1_12	0.02221	0.0	1.2478	1.0
me1_21	0.05167	0.0	0.2329	1.0
t2	0.06279	0.0	2.7058	1.0
nu21	24.95252	23.2676	26.6374	1.0
nu22	31.37163	28.5206	34.2227	1.0
me2_12	2.41537	0.4597	4.371	1.0
me2_21	15.0	14.4903	15.5097	1.0
P1	0.32672	0.0	0.984	1.0
P2	0.61179	0.0	1.4772	1.0
theta	11975.47408728529	11975.4737	11975.4745	1.0
nu_1	1.08452	0.9897	1.1793	0.01
nu_2	23.36606	22.5943	24.1378	0.01
t1	1.70979	1.6121	1.8075	0.01
nu11	16.60098	16.4972	16.7047	0.01
nu12	7.40507	7.2337	7.5764	0.01
me1_12	0.02221	0.0	0.113	0.01
me1_21	0.05167	0.0	0.1234	0.01
t2	0.06279	0.0	0.7243	0.01
nu21	24.95252	24.4966	25.4084	0.01
nu22	31.37163	29.368	33.3752	0.01
me2_12	2.41537	1.8129	3.0178	0.01
me2_21	15.0	14.3302	15.6698	0.01
P1	0.32672	0.162	0.4914	0.01
P2	0.61179	0.6054	0.6182	0.01
theta	11975.47408728529	11975.3788	11975.5694	0.01
nu_1	1.08452	1.004	1.1651	0.001
nu_2	23.36606	22.2125	24.5197	0.001
t1	1.70979	1.6267	1.7929	0.001
nu11	16.60098	16.5044	16.6976	0.001
nu12	7.40507	7.1826	7.6276	0.001
me1_12	0.02221	0.0	0.1011	0.001
me1_21	0.05167	0.0	0.1435	0.001
t2	0.06279	0.0	0.2455	0.001
nu21	24.95252	24.6861	25.219	0.001
nu22	31.37163	29.284	33.4593	0.001
me2_12	2.41537	2.2545	2.5762	0.001
me2_21	15.0	14.8	15.2	0.001
P1	0.32672	0.1856	0.4678	0.001
P2	0.61179	0.5988	0.6248	0.001
theta	11975.47408728529	11975.3987	11975.5494	0.001
nu_1	1.08452	0.0	6.0249	0.0001
nu_2	23.36606	20.1397	26.5924	0.0001
t1	1.70979	0.0	5.7093	0.0001
nu11	16.60098	13.1133	20.0887	0.0001
nu12	7.40507	4.118	10.6921	0.0001
me1_12	0.02221	0.0	4.1195	0.0001
me1_21	0.05167	0.0	2.3305	0.0001
t2	0.06279	0.0	3.1925	0.0001
nu21	24.95252	19.9638	29.9413	0.0001
nu22	31.37163	0.0	68.1617	0.0001
me2_12	2.41537	0.0	5.9084	0.0001
me2_21	15.0	12.9373	17.0627	0.0001
P1	0.32672	0.0	3.6284	0.0001
P2	0.61179	0.5703	0.6533	0.0001
theta	11975.47408728529	11972.0494	11978.8988	0.0001
nu_1	1.08452	1.0473	1.1218	1e-05
nu_2	23.36606	23.1169	23.6152	1e-05
t1	1.70979	1.6688	1.7508	1e-05
nu11	16.60098	16.572	16.63	1e-05
nu12	7.40507	7.3897	7.4205	1e-05
me1_12	0.02221	0.0	0.065	1e-05
me1_21	0.05167	0.0	0.1206	1e-05
t2	0.06279	0.0	0.1809	1e-05
nu21	24.95252	24.8287	25.0763	1e-05
nu22	31.37163	30.9572	31.786	1e-05
me2_12	2.41537	2.2057	2.625	1e-05
me2_21	15.0	14.8692	15.1308	1e-05
P1	0.32672	0.3072	0.3463	1e-05
P2	0.61179	0.5968	0.6268	1e-05
theta	11975.47408728529	11975.4438	11975.5043	1e-05
nu_1	1.08452	1.0835	1.0856	1e-06
nu_2	23.36606	23.3632	23.3689	1e-06
t1	1.70979	1.7093	1.7103	1e-06
nu11	16.60098	16.5992	16.6028	1e-06
nu12	7.40507	7.404	7.4061	1e-06
me1_12	0.02221	0.021	0.0234	1e-06
me1_21	0.05167	0.0514	0.052	1e-06
t2	0.06279	0.0617	0.0639	1e-06
nu21	24.95252	24.9501	24.955	1e-06
nu22	31.37163	31.3662	31.377	1e-06
me2_12	2.41537	2.4136	2.4171	1e-06
me2_21	15.0	14.9972	15.0028	1e-06
P1	0.32672	0.3251	0.3283	1e-06
P2	0.61179	0.6101	0.6135	1e-06
theta	11975.47408728529	11975.4729	11975.4753	1e-06
