Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	0.80351	0.0	1.7609	1.0
nu_2	300.0	296.4542	303.5458	1.0
t1	1.37358	0.4387	2.3084	1.0
nu11	14.67336	13.4736	15.8732	1.0
nu12	4.66591	4.0434	5.2884	1.0
me1_12	0.02643	0.0	1.247	1.0
me1_21	0.11572	0.0	0.4712	1.0
t2	0.15849	0.0	0.6386	1.0
nu21	18.45095	16.865	20.0369	1.0
nu22	9.70126	8.2519	11.1507	1.0
me2_12	0.81308	0.0	2.5337	1.0
me2_21	6.04452	5.1224	6.9666	1.0
P1	0.28779	0.0	0.8603	1.0
P2	0.5612	0.0	1.4419	1.0
theta	16886.72499169568	16886.7248	16886.7252	1.0
nu_1	0.80351	0.4376	1.1694	0.01
nu_2	300.0	299.8052	300.1948	0.01
t1	1.37358	0.9905	1.7567	0.01
nu11	14.67336	14.4225	14.9242	0.01
nu12	4.66591	4.3498	4.982	0.01
me1_12	0.02643	0.0	0.5842	0.01
me1_21	0.11572	0.0	0.8422	0.01
t2	0.15849	0.0	1.5959	0.01
nu21	18.45095	18.0131	18.8888	0.01
nu22	9.70126	9.4154	9.9871	0.01
me2_12	0.81308	0.0	2.1348	0.01
me2_21	6.04452	4.5337	7.5553	0.01
P1	0.28779	0.0	0.6756	0.01
P2	0.5612	0.4994	0.623	0.01
theta	16886.72499169568	16886.3299	16887.1201	0.01
nu_1	0.80351	0.75	0.857	0.001
nu_2	300.0	299.2245	300.7755	0.001
t1	1.37358	1.35	1.3971	0.001
nu11	14.67336	14.5893	14.7574	0.001
nu12	4.66591	4.6226	4.7092	0.001
me1_12	0.02643	0.0	0.0672	0.001
me1_21	0.11572	0.0222	0.2093	0.001
t2	0.15849	0.0	0.3939	0.001
nu21	18.45095	18.3951	18.5068	0.001
nu22	9.70126	9.6012	9.8013	0.001
me2_12	0.81308	0.5231	1.1031	0.001
me2_21	6.04452	5.8175	6.2716	0.001
P1	0.28779	0.242	0.3336	0.001
P2	0.5612	0.5413	0.5811	0.001
theta	16886.72499169568	16886.706	16886.744	0.001
nu_1	0.80351	0.5558	1.0512	0.0001
nu_2	300.0	299.6908	300.3092	0.0001
t1	1.37358	1.1376	1.6096	0.0001
nu11	14.67336	14.4429	14.9038	0.0001
nu12	4.66591	4.4534	4.8785	0.0001
me1_12	0.02643	0.0	0.4127	0.0001
me1_21	0.11572	0.0	0.3976	0.0001
t2	0.15849	0.0161	0.3009	0.0001
nu21	18.45095	18.2564	18.6455	0.0001
nu22	9.70126	9.2795	10.123	0.0001
me2_12	0.81308	0.5428	1.0834	0.0001
me2_21	6.04452	6.0376	6.0515	0.0001
P1	0.28779	0.1916	0.384	0.0001
P2	0.5612	0.546	0.5764	0.0001
theta	16886.72499169568	16886.5302	16886.9198	0.0001
nu_1	0.80351	0.7595	0.8475	1e-05
nu_2	300.0	299.8845	300.1155	1e-05
t1	1.37358	1.352	1.3952	1e-05
nu11	14.67336	14.605	14.7417	1e-05
nu12	4.66591	4.5829	4.7489	1e-05
me1_12	0.02643	0.0	0.0548	1e-05
me1_21	0.11572	0.0891	0.1424	1e-05
t2	0.15849	0.1573	0.1597	1e-05
nu21	18.45095	18.2791	18.6228	1e-05
nu22	9.70126	9.2685	10.134	1e-05
me2_12	0.81308	0.5756	1.0506	1e-05
me2_21	6.04452	6.0433	6.0458	1e-05
P1	0.28779	0.1221	0.4535	1e-05
P2	0.5612	0.5291	0.5933	1e-05
theta	16886.72499169568	16886.7228	16886.7272	1e-05
nu_1	0.80351	0.8018	0.8052	1e-06
nu_2	300.0	299.9912	300.0088	1e-06
t1	1.37358	1.3711	1.3761	1e-06
nu11	14.67336	14.6661	14.6806	1e-06
nu12	4.66591	4.6625	4.6693	1e-06
me1_12	0.02643	0.0256	0.0272	1e-06
me1_21	0.11572	0.1149	0.1165	1e-06
t2	0.15849	0.1541	0.1629	1e-06
nu21	18.45095	18.4443	18.4576	1e-06
nu22	9.70126	9.6974	9.7051	1e-06
me2_12	0.81308	0.8124	0.8137	1e-06
me2_21	6.04452	6.0376	6.0515	1e-06
P1	0.28779	0.2836	0.292	1e-06
P2	0.5612	0.556	0.5664	1e-06
theta	16886.72499169568	16886.7221	16886.7279	1e-06
