Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	0.77183	0.0	2.8953	1.0
nu_2	300.0	297.8016	302.1984	1.0
t1	1.26941	0.0	2.7746	1.0
nu11	12.02625	9.2163	14.8362	1.0
nu12	5.04365	4.7537	5.3336	1.0
me1_12	0.01962	0.0	2.5354	1.0
me1_21	0.07835	0.0	1.4038	1.0
t2	0.23069	0.0	1.5258	1.0
nu21	16.70357	16.1086	17.2985	1.0
nu22	9.97017	9.4185	10.5218	1.0
me2_12	0.62781	0.0	3.1787	1.0
me2_21	3.92666	1.9965	5.8568	1.0
P1	0.19754	0.0	1.6245	1.0
P2	0.55886	0.0	1.9098	1.0
theta	15674.360363319358	15674.3602	15674.3606	1.0
nu_1	0.77183	0.1508	1.3928	0.01
nu_2	300.0	299.5959	300.4041	0.01
t1	1.26941	0.4871	2.0517	0.01
nu11	12.02625	11.4741	12.5784	0.01
nu12	5.04365	4.2019	5.8854	0.01
me1_12	0.01962	0.0	1.8731	0.01
me1_21	0.07835	0.0	1.5468	0.01
t2	0.23069	0.0	3.8332	0.01
nu21	16.70357	16.1948	17.2123	0.01
nu22	9.97017	9.5511	10.3892	0.01
me2_12	0.62781	0.0	3.8915	0.01
me2_21	3.92666	0.1207	7.7326	0.01
P1	0.19754	0.0	2.6776	0.01
P2	0.55886	0.2828	0.8349	0.01
theta	15674.360363319358	15673.455	15675.2658	0.01
nu_1	0.77183	0.6892	0.8544	0.001
nu_2	300.0	299.0871	300.9129	0.001
t1	1.26941	1.1665	1.3724	0.001
nu11	12.02625	11.928	12.1245	0.001
nu12	5.04365	4.9664	5.1209	0.001
me1_12	0.01962	0.0	0.1048	0.001
me1_21	0.07835	0.0	0.2051	0.001
t2	0.23069	0.1403	0.3211	0.001
nu21	16.70357	16.6056	16.8015	0.001
nu22	9.97017	9.8354	10.1049	0.001
me2_12	0.62781	0.5311	0.7246	0.001
me2_21	3.92666	3.8429	4.0104	0.001
P1	0.19754	0.0993	0.2958	0.001
P2	0.55886	0.5435	0.5742	0.001
theta	15674.360363319358	15674.2856	15674.4351	0.001
nu_1	0.77183	0.5655	0.9781	0.0001
nu_2	300.0	299.7394	300.2606	0.0001
t1	1.26941	1.0338	1.505	0.0001
nu11	12.02625	11.8503	12.2022	0.0001
nu12	5.04365	4.8741	5.2132	0.0001
me1_12	0.01962	0.0	0.3159	0.0001
me1_21	0.07835	0.0	0.3929	0.0001
t2	0.23069	0.2296	0.2318	0.0001
nu21	16.70357	16.4569	16.9502	0.0001
nu22	9.97017	9.6669	10.2734	0.0001
me2_12	0.62781	0.5843	0.6714	0.0001
me2_21	3.92666	3.9219	3.9314	0.0001
P1	0.19754	0.0	0.8401	0.0001
P2	0.55886	0.5269	0.5908	0.0001
theta	15674.360363319358	15674.1797	15674.5411	0.0001
nu_1	0.77183	0.7452	0.7985	1e-05
nu_2	300.0	299.5893	300.4107	1e-05
t1	1.26941	1.2635	1.2753	1e-05
nu11	12.02625	11.9761	12.0764	1e-05
nu12	5.04365	5.0295	5.0578	1e-05
me1_12	0.01962	0.0	0.1174	1e-05
me1_21	0.07835	0.0578	0.0989	1e-05
t2	0.23069	0.1789	0.2825	1e-05
nu21	16.70357	16.6666	16.7405	1e-05
nu22	9.97017	9.9313	10.0091	1e-05
me2_12	0.62781	0.6	0.6556	1e-05
me2_21	3.92666	3.8586	3.9947	1e-05
P1	0.19754	0.1778	0.2173	1e-05
P2	0.55886	0.5527	0.565	1e-05
theta	15674.360363319358	15674.3562	15674.3645	1e-05
nu_1	0.77183	0.7713	0.7723	1e-06
nu_2	300.0	299.9941	300.0059	1e-06
t1	1.26941	1.2692	1.2696	1e-06
nu11	12.02625	12.0238	12.0287	1e-06
nu12	5.04365	5.042	5.0453	1e-06
me1_12	0.01962	0.018	0.0213	1e-06
me1_21	0.07835	0.077	0.0797	1e-06
t2	0.23069	0.2302	0.2311	1e-06
nu21	16.70357	16.7002	16.7069	1e-06
nu22	9.97017	9.9692	9.9711	1e-06
me2_12	0.62781	0.626	0.6296	1e-06
me2_21	3.92666	3.926	3.9273	1e-06
P1	0.19754	0.1964	0.1987	1e-06
P2	0.55886	0.5581	0.5596	1e-06
theta	15674.360363319358	15674.3585	15674.3622	1e-06
