Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	6.95073	2.6435	11.258	1.0
nu_2	12.99178	9.4128	16.5707	1.0
t1	2.3091	2.3091	2.3091	1.0
nu11	34.19443	29.5143	38.8746	1.0
nu12	53.42438	53.4243	53.4244	1.0
me1_12	6.76192	6.7619	6.7619	1.0
me1_21	4.87885	4.8788	4.8789	1.0
t2	0.02486	0.0	1.5525	1.0
nu21	5.54679	0.8306	10.263	1.0
nu22	6.57953	5.9965	7.1626	1.0
me2_12	8.11826	0.0	20.0634	1.0
me2_21	5.78261	4.2153	7.3499	1.0
P1	0.65851	0.469	0.848	1.0
P2	0.39829	0.0	1.1692	1.0
theta	4769.815919540512	4769.8105	4769.8213	1.0
nu_1	6.95073	6.9041	6.9974	0.01
nu_2	12.99178	12.9033	13.0803	0.01
t1	2.3091	2.2909	2.3273	0.01
nu11	34.19443	34.1154	34.2735	0.01
nu12	53.42438	53.3313	53.5175	0.01
me1_12	6.76192	5.2362	8.2876	0.01
me1_21	4.87885	3.8069	5.9508	0.01
t2	0.02486	0.0	1.5157	0.01
nu21	5.54679	4.36	6.7336	0.01
nu22	6.57953	5.5769	7.5822	0.01
me2_12	8.11826	6.4795	9.7571	0.01
me2_21	5.78261	4.2334	7.3319	0.01
P1	0.65851	0.6127	0.7043	0.01
P2	0.39829	0.3646	0.432	0.01
theta	4769.815919540512	4769.8011	4769.8308	0.01
nu_1	6.95073	6.9352	6.9663	0.001
nu_2	12.99178	12.9189	13.0647	0.001
t1	2.3091	2.263	2.3552	0.001
nu11	34.19443	34.1204	34.2685	0.001
nu12	53.42438	53.3856	53.4631	0.001
me1_12	6.76192	4.0981	9.4257	0.001
me1_21	4.87885	2.8815	6.8762	0.001
t2	0.02486	0.0	0.2515	0.001
nu21	5.54679	5.3832	5.7104	0.001
nu22	6.57953	6.4441	6.715	0.001
me2_12	8.11826	7.8555	8.381	0.001
me2_21	5.78261	5.6443	5.9209	0.001
P1	0.65851	0.6433	0.6738	0.001
P2	0.39829	0.3576	0.439	0.001
theta	4769.815919540512	4769.7812	4769.8506	0.001
nu_1	6.95073	6.5349	7.3666	0.0001
nu_2	12.99178	12.0481	13.9355	0.0001
t1	2.3091	1.7307	2.8875	0.0001
nu11	34.19443	32.8869	35.502	0.0001
nu12	53.42438	53.2274	53.6214	0.0001
me1_12	6.76192	0.4894	13.0345	0.0001
me1_21	4.87885	3.1333	6.6244	0.0001
t2	0.02486	0.0	0.9776	0.0001
nu21	5.54679	5.0382	6.0554	0.0001
nu22	6.57953	3.7794	9.3797	0.0001
me2_12	8.11826	7.3215	8.915	0.0001
me2_21	5.78261	4.6365	6.9288	0.0001
P1	0.65851	0.6337	0.6834	0.0001
P2	0.39829	0.2775	0.519	0.0001
theta	4769.815919540512	4769.3433	4770.2886	0.0001
nu_1	6.95073	6.3774	7.5241	1e-05
nu_2	12.99178	12.4303	13.5532	1e-05
t1	2.3091	2.2948	2.3234	1e-05
nu11	34.19443	33.4109	34.978	1e-05
nu12	53.42438	52.7974	54.0514	1e-05
me1_12	6.76192	6.7608	6.763	1e-05
me1_21	4.87885	0.3289	9.4288	1e-05
t2	0.02486	0.0	4.0249	1e-05
nu21	5.54679	0.3465	10.7471	1e-05
nu22	6.57953	4.9343	8.2247	1e-05
me2_12	8.11826	4.1269	12.1097	1e-05
me2_21	5.78261	2.0965	9.4687	1e-05
P1	0.65851	0.6293	0.6877	1e-05
P2	0.39829	0.3631	0.4334	1e-05
theta	4769.815919540512	4769.7799	4769.8519	1e-05
nu_1	6.95073	6.6775	7.224	1e-06
nu_2	12.99178	12.8679	13.1156	1e-06
t1	2.3091	2.2672	2.351	1e-06
nu11	34.19443	34.1507	34.2382	1e-06
nu12	53.42438	53.3509	53.4979	1e-06
me1_12	6.76192	6.7238	6.8001	1e-06
me1_21	4.87885	4.8439	4.9138	1e-06
t2	0.02486	0.0	0.0557	1e-06
nu21	5.54679	5.5068	5.5868	1e-06
nu22	6.57953	6.567	6.5921	1e-06
me2_12	8.11826	8.0581	8.1784	1e-06
me2_21	5.78261	5.7568	5.8084	1e-06
P1	0.65851	0.6516	0.6654	1e-06
P2	0.39829	0.3801	0.4164	1e-06
theta	4769.815919540512	4769.7697	4769.8622	1e-06
