Parameter	Optimised	Lower_CI	Upper_CI	eps
nu_1	0.81175	0.362	1.2615	0.01
nu_2	200.0	199.8368	200.1632	0.01
t1	1.44337	1.3112	1.5756	0.01
nu11	14.47075	14.2636	14.6779	0.01
nu12	20.00137	19.9202	20.0825	0.01
me1_12	0.02005	0.0	1.7185	0.01
me1_21	0.84677	0.5781	1.1155	0.01
t2	0.02953	0.0	0.7213	0.01
nu21	24.92714	24.263	25.5913	0.01
nu22	34.33934	31.2252	37.4535	0.01
me2_12	10.0	9.0823	10.9177	0.01
me2_21	2.92701	1.3576	4.4964	0.01
P1	0.28567	0.0	0.8272	0.01
P2	0.42008	0.2178	0.6223	0.01
theta	8176.6302250513545	8176.4344	8176.8261	0.01
nu_1	0.81175	0.6021	1.0214	0.001
nu_2	200.0	199.4074	200.5926	0.001
t1	1.44337	1.4074	1.4794	0.001
nu11	14.47075	14.39	14.5515	0.001
nu12	20.00137	19.9484	20.0544	0.001
me1_12	0.02005	0.0	0.7871	0.001
me1_21	0.84677	0.784	0.9095	0.001
t2	0.02953	0.0	0.0672	0.001
nu21	24.92714	24.744	25.1102	0.001
nu22	34.33934	33.6439	35.0348	0.001
me2_12	10.0	9.9329	10.0671	0.001
me2_21	2.92701	2.3843	3.4697	0.001
P1	0.28567	0.0	0.6103	0.001
P2	0.42008	0.3509	0.4893	0.001
theta	8176.6302250513545	8176.5599	8176.7005	0.001
nu_1	0.81175	0.6154	1.0081	0.0001
nu_2	200.0	198.9924	201.0076	0.0001
t1	1.44337	1.2098	1.677	0.0001
nu11	14.47075	14.2641	14.6774	0.0001
nu12	20.00137	19.9589	20.0439	0.0001
me1_12	0.02005	0.0	0.8955	0.0001
me1_21	0.84677	0.4932	1.2003	0.0001
t2	0.02953	0.0	0.1778	0.0001
nu21	24.92714	24.4769	25.3774	0.0001
nu22	34.33934	30.7723	37.9063	0.0001
me2_12	10.0	9.91	10.09	0.0001
me2_21	2.92701	2.5678	3.2863	0.0001
P1	0.28567	0.0539	0.5175	0.0001
P2	0.42008	0.3644	0.4757	0.0001
theta	8176.6302250513545	8176.4376	8176.8228	0.0001
nu_1	0.81175	0.7853	0.8382	1e-05
nu_2	200.0	199.7238	200.2762	1e-05
t1	1.44337	1.395	1.4917	1e-05
nu11	14.47075	14.4455	14.496	1e-05
nu12	20.00137	19.962	20.0407	1e-05
me1_12	0.02005	0.0	0.1434	1e-05
me1_21	0.84677	0.8166	0.8769	1e-05
t2	0.02953	0.0	0.1357	1e-05
nu21	24.92714	24.8339	25.0204	1e-05
nu22	34.33934	34.2419	34.4368	1e-05
me2_12	10.0	9.8355	10.1645	1e-05
me2_21	2.92701	2.8746	2.9794	1e-05
P1	0.28567	0.2573	0.314	1e-05
P2	0.42008	0.3924	0.4478	1e-05
theta	8176.6302250513545	8176.5959	8176.6646	1e-05
nu_1	0.81175	0.809	0.8145	1e-06
nu_2	200.0	199.9847	200.0153	1e-06
t1	1.44337	1.4406	1.4462	1e-06
nu11	14.47075	14.4636	14.4779	1e-06
nu12	20.00137	19.9961	20.0067	1e-06
me1_12	0.02005	0.0176	0.0225	1e-06
me1_21	0.84677	0.8439	0.8496	1e-06
t2	0.02953	0.028	0.0311	1e-06
nu21	24.92714	24.924	24.9303	1e-06
nu22	34.33934	34.3255	34.3532	1e-06
me2_12	10.0	9.9973	10.0027	1e-06
me2_21	2.92701	2.9244	2.9296	1e-06
P1	0.28567	0.2843	0.2871	1e-06
P2	0.42008	0.4188	0.4214	1e-06
theta	8176.6302250513545	8176.628	8176.6325	1e-06
nu_1	0.81175	0.8117	0.8118	1e-07
nu_2	200.0	200.0	200.0	1e-07
t1	1.44337	1.4433	1.4434	1e-07
nu11	14.47075	14.4707	14.4708	1e-07
nu12	20.00137	20.0014	20.0014	1e-07
me1_12	0.02005	0.02	0.0201	1e-07
me1_21	0.84677	0.8467	0.8469	1e-07
t2	0.02953	0.0295	0.0296	1e-07
nu21	24.92714	24.9271	24.9271	1e-07
nu22	34.33934	34.3393	34.3394	1e-07
me2_12	10.0	10.0	10.0	1e-07
me2_21	2.92701	2.927	2.927	1e-07
P1	0.28567	0.2856	0.2857	1e-07
P2	0.42008	0.4201	0.4201	1e-07
theta	8176.6302250513545	8176.6283	8176.6321	1e-07
